timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1486139335457,3635,Autenticação - Pagina Inicial,200,OK,For Each User 1-1,text,true,,16258,606,1,1,3416,0,621
1486139339111,171,Autenticação - Post AD FS,200,OK,For Each User 1-1,text,true,,8994,2613,1,1,79,0,0
1486139339323,6814,Autenticação - Post Home PGD,200,OK,For Each User 1-1,text,true,,9697,7957,1,1,117,0,29
1486139346138,122,Autenticação - Seleção de Perfil,200,OK,For Each User 1-1,text,true,,8731,1774,1,1,80,0,0
1486139346260,62,Open Atividade Page,200,OK,For Each User 1-1,text,true,,7201,2719,1,1,21,0,3
1486139348915,74,Post Atividade,200,OK,For Each User 1-1,text,false,Test failed: text expected to contain /sucesso!/,7201,2879,1,1,13,0,4
1486139475247,3552,Autenticação - Pagina Inicial,200,OK,For Each User 1-1,text,true,,16258,606,1,1,3373,0,81
1486139478800,122,Autenticação - Post AD FS,200,OK,For Each User 1-1,text,true,,8974,2593,1,1,66,0,0
1486139478926,4868,Autenticação - Post Home PGD,200,OK,For Each User 1-1,text,true,,9697,7971,1,1,98,0,21
1486139483794,87,Autenticação - Seleção de Perfil,200,OK,For Each User 1-1,text,true,,8731,1774,1,1,56,0,0
1486139483881,912,Open Atividade Page,200,OK,For Each User 1-1,text,true,,12919,921,1,1,912,0,0
1486139489283,1414,Post Atividade,200,OK,For Each User 1-1,text,true,,12216,2401,1,1,1166,0,5
1486139737587,1726,Post Atividade,200,OK,For Each User 1-1,text,true,,15569,2401,10,10,1271,0,108
1486139738186,1148,Post Atividade,200,OK,For Each User 1-7,text,true,,15569,2401,10,10,698,0,127
1486139737629,1738,Post Atividade,200,OK,For Each User 1-2,text,true,,15569,2401,10,10,1228,0,65
1486139737485,1896,Post Atividade,200,OK,For Each User 1-4,text,true,,15569,2401,10,10,1502,0,10
1486139738341,1079,Post Atividade,200,OK,For Each User 1-3,text,true,,16683,2401,10,10,544,0,9
1486139739026,414,Post Atividade,200,OK,For Each User 1-9,text,true,,17797,2401,10,10,341,0,43
1486139739279,174,Post Atividade,200,OK,For Each User 1-10,text,true,,17797,2401,10,10,133,0,49
1486139739456,78,Post Atividade,200,OK,For Each User 1-8,text,true,,18913,2401,10,10,37,0,11
1486139739827,76,Post Atividade,200,OK,For Each User 1-5,text,true,,20029,2401,10,10,41,0,11
1486139740532,107,Post Atividade,200,OK,For Each User 1-6,text,true,,21145,2401,10,10,49,0,12
1486139743204,130,Post Atividade,200,OK,For Each User 1-1,text,true,,22260,2401,10,10,79,0,10
1486139743710,121,Post Atividade,200,OK,For Each User 1-10,text,true,,23376,2401,10,10,64,0,9
1486139743935,103,Post Atividade,200,OK,For Each User 1-4,text,true,,24492,2401,10,10,43,0,9
1486139744427,102,Post Atividade,200,OK,For Each User 1-9,text,true,,25608,2401,10,10,50,0,10
1486139744621,150,Post Atividade,200,OK,For Each User 1-2,text,true,,26724,2401,10,10,47,0,9
1486139744701,142,Post Atividade,200,OK,For Each User 1-3,text,true,,27840,2401,10,10,70,0,13
1486139745210,128,Post Atividade,200,OK,For Each User 1-7,text,true,,28956,2401,10,10,41,0,10
1486139745315,139,Post Atividade,200,OK,For Each User 1-5,text,true,,30072,2401,10,10,63,0,8
1486139745587,128,Post Atividade,200,OK,For Each User 1-8,text,true,,31188,2401,10,10,39,0,13
1486139745915,117,Post Atividade,200,OK,For Each User 1-6,text,true,,32304,2401,10,10,35,0,5
1486139748356,140,Post Atividade,200,OK,For Each User 1-2,text,true,,33420,2401,10,10,62,0,9
1486139748557,114,Post Atividade,200,OK,For Each User 1-1,text,true,,34535,2401,10,10,40,0,8
1486139749000,144,Post Atividade,200,OK,For Each User 1-10,text,true,,35651,2401,10,10,56,0,10
1486139749544,123,Post Atividade,200,OK,For Each User 1-3,text,true,,36767,2401,10,10,53,0,11
1486139750375,194,Post Atividade,200,OK,For Each User 1-4,text,true,,37883,2401,10,10,57,0,12
1486139750478,1234,Post Atividade,200,OK,For Each User 1-9,text,true,,38999,2401,10,10,1076,0,10
1486139750631,1130,Post Atividade,200,OK,For Each User 1-7,text,true,,40115,2401,10,10,947,0,9
1486139751063,755,Post Atividade,200,OK,For Each User 1-6,text,true,,41231,2401,10,10,573,0,5
1486139751414,434,Post Atividade,200,OK,For Each User 1-8,text,true,,43463,2401,10,10,256,0,11
1486139751343,586,Post Atividade,200,OK,For Each User 1-5,text,true,,43463,2401,10,10,328,0,10
1486139752648,192,Post Atividade,200,OK,For Each User 1-2,text,true,,44578,2401,10,10,56,0,10
1486139753702,197,Post Atividade,200,OK,For Each User 1-1,text,true,,45694,2401,9,9,59,0,10
1486139754204,192,Post Atividade,200,OK,For Each User 1-10,text,true,,46810,2401,8,8,38,0,13
1486139754712,163,Post Atividade,200,OK,For Each User 1-3,text,true,,47926,2401,7,7,42,0,8
1486139755975,287,Post Atividade,200,OK,For Each User 1-4,text,true,,50158,2401,6,6,123,0,5
1486139755950,321,Post Atividade,200,OK,For Each User 1-7,text,true,,50158,2401,5,5,138,0,4
