timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1486143330467,1509,Post Grupo Atividade,200,OK,For Each User 1-1,text,false,Test failed: text expected to contain /sucesso!/,31101,1328,1,1,1508,0,13
1486144198024,1315,Post Grupo Atividade,200,OK,For Each User 1-1,text,false,Test failed: text expected to contain /sucesso!/,31101,1322,1,1,1312,0,12
1486144403228,1328,Post Grupo Atividade,200,OK,For Each User 1-1,text,false,Test failed: text expected to contain /sucesso!/,31101,1322,1,1,1325,0,13
1486144611237,1402,Post Grupo Atividade,200,OK,For Each User 1-1,text,true,,12767,2315,1,1,1027,0,14
1486144835532,1236,Post Grupo Atividade,200,OK,For Each User 1-1,text,true,,15540,2316,2,2,917,0,12
1486144837922,153,Post Grupo Atividade,200,OK,For Each User 1-2,text,true,,18313,2316,2,2,119,0,11
1486144842417,135,Post Grupo Atividade,200,OK,For Each User 1-2,text,true,,21086,2316,2,2,91,0,23
1486144842808,238,Post Grupo Atividade,200,OK,For Each User 1-1,text,true,,23859,2316,1,1,183,0,11
1486145139365,1589,Post Grupo Atividade,200,OK,For Each User 1-1,text,false,Test failed: text expected to contain /sucesso!/,31132,1353,2,2,1587,0,13
1486145139663,1486,Post Grupo Atividade,200,OK,For Each User 1-2,text,false,Test failed: text expected to contain /sucesso!/,31132,1353,2,2,1484,0,12
1486145146242,1474,Post Grupo Atividade,200,OK,For Each User 1-1,text,false,Test failed: text expected to contain /sucesso!/,31132,1353,2,2,1472,0,15
1486145146642,1482,Post Grupo Atividade,200,OK,For Each User 1-2,text,false,Test failed: text expected to contain /sucesso!/,31132,1353,1,1,1480,0,13
1486145191555,925,Post Grupo Atividade,200,OK,For Each User 1-1,text,false,Test failed: text expected to contain /sucesso!/,31125,1340,2,2,923,0,11
1486145192600,890,Post Grupo Atividade,200,OK,For Each User 1-2,text,false,Test failed: text expected to contain /sucesso!/,31125,1340,2,2,886,0,10
1486145198641,1165,Post Grupo Atividade,200,OK,For Each User 1-1,text,false,Test failed: text expected to contain /sucesso!/,31125,1340,2,2,1163,0,12
1486145199525,1104,Post Grupo Atividade,200,OK,For Each User 1-2,text,false,Test failed: text expected to contain /sucesso!/,31125,1340,1,1,1102,0,9
1486145330998,1084,Post Grupo Atividade,200,OK,For Each User 1-2,text,true,,12767,2334,2,2,854,0,13
1486145330478,1936,Post Grupo Atividade,200,OK,For Each User 1-1,text,false,Test failed: text expected to contain /sucesso!/,31110,1345,2,2,1935,0,12
1486145336932,308,Post Grupo Atividade,200,OK,For Each User 1-2,text,true,,15540,2334,2,2,284,0,14
1486145338330,909,Post Grupo Atividade,200,OK,For Each User 1-1,text,false,Test failed: text expected to contain /sucesso!/,31110,1345,1,1,907,0,12
1486145410844,1156,Post Grupo Atividade,200,OK,For Each User 1-1,text,true,,21086,2316,2,2,825,0,12
1486145411212,792,Post Grupo Atividade,200,OK,For Each User 1-2,text,true,,21086,2316,2,2,459,0,60
1486145415282,509,Post Grupo Atividade,200,OK,For Each User 1-1,text,true,,26646,2316,2,2,453,0,12
1486145415346,449,Post Grupo Atividade,200,OK,For Each User 1-2,text,true,,26646,2316,1,1,390,0,11
1486145615805,1452,Post Grupo Atividade,200,OK,For Each User 1-1,text,true,,12774,2316,1,1,1013,0,14
1486145623003,99,Post Grupo Atividade,200,OK,For Each User 1-1,text,true,,15554,2316,1,1,73,0,12
1486145628167,101,Post Grupo Atividade,200,OK,For Each User 1-1,text,true,,18334,2316,1,1,69,0,10
1486145634722,122,Post Grupo Atividade,200,OK,For Each User 1-1,text,true,,21114,2316,1,1,92,0,16
1486145728061,14,Post Grupo Atividade,503,Service Unavailable,For Each User 1-1,text,false,Test failed: text expected to contain /sucesso!/,513,351,4,4,14,0,11
1486145728549,1012,Post Grupo Atividade,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,For Each User 1-3,text,false,Test failed: text expected to contain /sucesso!/,2461,0,3,3,0,0,1012
1486145728559,1008,Post Grupo Atividade,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,For Each User 1-4,text,false,Test failed: text expected to contain /sucesso!/,2461,0,2,2,0,0,1008
1486145728560,1007,Post Grupo Atividade,Non HTTP response code: java.net.ConnectException,Non HTTP response message: Connection refused: connect,For Each User 1-2,text,false,Test failed: text expected to contain /sucesso!/,2461,0,2,2,0,0,1007
1486145759872,1222,Post Grupo Atividade,200,OK,For Each User 1-3,text,true,,23894,2316,4,4,857,0,9
1486145761210,102,Post Grupo Atividade,200,OK,For Each User 1-2,text,true,,26674,2316,3,3,42,0,9
1486145762081,136,Post Grupo Atividade,200,OK,For Each User 1-1,text,true,,29454,2316,2,2,77,0,10
1486145762654,148,Post Grupo Atividade,200,OK,For Each User 1-4,text,true,,32234,2316,1,1,76,0,11
1486145903147,116,Post Grupo Atividade,200,OK,For Each User 1-3,text,false,Test failed: text expected to contain /sucesso!/,16321,754,4,4,91,0,14
1486145903476,84,Post Grupo Atividade,200,OK,For Each User 1-2,text,false,Test failed: text expected to contain /sucesso!/,16321,754,3,3,60,0,9
1486145904272,114,Post Grupo Atividade,200,OK,For Each User 1-1,text,false,Test failed: text expected to contain /sucesso!/,16321,754,2,2,88,0,78
1486145908356,1116,Post Grupo Atividade,200,OK,For Each User 1-4,text,false,Test failed: text expected to contain /sucesso!/,31131,1352,1,1,1113,0,12
1486145942928,1305,Post Grupo Atividade,200,OK,For Each User 1-2,text,false,Test failed: text expected to contain /sucesso!/,31131,1352,4,4,1303,0,10
1486145943742,1211,Post Grupo Atividade,200,OK,For Each User 1-1,text,false,Test failed: text expected to contain /sucesso!/,31131,1352,3,3,1209,0,5
1486145945087,1223,Post Grupo Atividade,200,OK,For Each User 1-3,text,false,Test failed: text expected to contain /sucesso!/,31131,1352,2,2,1221,0,9
1486145945114,1214,Post Grupo Atividade,200,OK,For Each User 1-4,text,false,Test failed: text expected to contain /sucesso!/,31131,1352,1,1,1212,0,11
1486146085402,1164,Post Grupo Atividade,200,OK,For Each User 1-4,text,true,,39742,2334,4,4,783,0,13
1486146086964,129,Post Grupo Atividade,200,OK,For Each User 1-3,text,true,,43502,2334,3,3,55,0,9
1486146087214,137,Post Grupo Atividade,200,OK,For Each User 1-2,text,true,,47262,2334,2,2,46,0,9
1486146089285,191,Post Grupo Atividade,200,OK,For Each User 1-1,text,true,,51022,2334,1,1,85,0,10
1486146190675,1542,Post Grupo Atividade,200,OK,For Each User 1-2,text,true,,13754,2334,4,4,1123,0,10
